2023-04-06 14:00:30,196 INFO    MainThread:8500 [wandb_setup.py:_flush():76] Configure stats pid to 8500
2023-04-06 14:00:30,197 INFO    MainThread:8500 [wandb_setup.py:_flush():76] Loading settings from C:\Users\PAVILION 15-DW001LA\.config\wandb\settings
2023-04-06 14:00:30,197 INFO    MainThread:8500 [wandb_setup.py:_flush():76] Loading settings from C:\Users\PAVILION 15-DW001LA\Documents\Tesis\Códigos\RNAs\Red_Convolucional\wandb\settings
2023-04-06 14:00:30,197 INFO    MainThread:8500 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-06 14:00:30,197 INFO    MainThread:8500 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-06 14:00:30,197 INFO    MainThread:8500 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'RNAs\\Red_Convolucional\\Red_Conv1D.py', 'program': 'C:\\Users\\PAVILION 15-DW001LA\\Documents\\Tesis\\Códigos\\RNAs\\Red_Convolucional\\Red_Conv1D.py'}
2023-04-06 14:00:30,198 INFO    MainThread:8500 [wandb_init.py:_log_setup():506] Logging user logs to C:\Users\PAVILION 15-DW001LA\Documents\Tesis\Códigos\RNAs\Red_Convolucional\wandb\run-20230406_140030-90irf3o9\logs\debug.log
2023-04-06 14:00:30,198 INFO    MainThread:8500 [wandb_init.py:_log_setup():507] Logging internal logs to C:\Users\PAVILION 15-DW001LA\Documents\Tesis\Códigos\RNAs\Red_Convolucional\wandb\run-20230406_140030-90irf3o9\logs\debug-internal.log
2023-04-06 14:00:30,199 INFO    MainThread:8500 [wandb_init.py:init():546] calling init triggers
2023-04-06 14:00:30,199 INFO    MainThread:8500 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-04-06 14:00:30,199 INFO    MainThread:8500 [wandb_init.py:init():602] starting backend
2023-04-06 14:00:30,199 INFO    MainThread:8500 [wandb_init.py:init():606] setting up manager
2023-04-06 14:00:30,202 INFO    MainThread:8500 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-06 14:00:30,213 INFO    MainThread:8500 [wandb_init.py:init():613] backend started and connected
2023-04-06 14:00:30,217 INFO    MainThread:8500 [wandb_init.py:init():701] updated telemetry
2023-04-06 14:00:30,278 INFO    MainThread:8500 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-04-06 14:00:30,670 INFO    MainThread:8500 [wandb_run.py:_on_init():2133] communicating current version
2023-04-06 14:00:30,905 INFO    MainThread:8500 [wandb_run.py:_on_init():2142] got version response upgrade_message: "wandb version 0.14.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-04-06 14:00:30,905 INFO    MainThread:8500 [wandb_init.py:init():789] starting run threads in backend
2023-04-06 14:00:36,031 INFO    MainThread:8500 [wandb_run.py:_console_start():2114] atexit reg
2023-04-06 14:00:36,031 INFO    MainThread:8500 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-06 14:00:36,031 INFO    MainThread:8500 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-06 14:00:36,032 INFO    MainThread:8500 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-06 14:00:36,032 INFO    MainThread:8500 [wandb_init.py:init():831] run started, returning control to user process
2023-04-06 14:00:36,032 INFO    MainThread:8500 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0008 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000014F77B0C670>>
2023-04-06 14:00:36,032 INFO    MainThread:8500 [wandb_run.py:_config_callback():1251] config_cb learning_rate 0.0008 None
2023-04-06 14:00:36,033 INFO    MainThread:8500 [wandb_config.py:__setitem__():152] config set batch_size = 20 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000014F77B0C670>>
2023-04-06 14:00:36,033 INFO    MainThread:8500 [wandb_run.py:_config_callback():1251] config_cb batch_size 20 None
2023-04-06 14:00:36,033 INFO    MainThread:8500 [wandb_config.py:__setitem__():152] config set epochs = 30 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000014F77B0C670>>
2023-04-06 14:00:36,034 INFO    MainThread:8500 [wandb_run.py:_config_callback():1251] config_cb epochs 30 None
2023-04-06 14:00:36,034 INFO    MainThread:8500 [wandb_config.py:__setitem__():152] config set metric = mape - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000014F77B0C670>>
2023-04-06 14:00:36,034 INFO    MainThread:8500 [wandb_run.py:_config_callback():1251] config_cb metric mape None
2023-04-06 14:00:36,034 INFO    MainThread:8500 [wandb_config.py:__setitem__():152] config set loss = mse - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000014F77B0C670>>
2023-04-06 14:00:36,034 INFO    MainThread:8500 [wandb_run.py:_config_callback():1251] config_cb loss mse None
2023-04-06 14:00:36,034 INFO    MainThread:8500 [wandb_config.py:__setitem__():152] config set optimizer = adam - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000014F77B0C670>>
2023-04-06 14:00:36,034 INFO    MainThread:8500 [wandb_run.py:_config_callback():1251] config_cb optimizer adam None
2023-04-06 14:01:16,978 INFO    MainThread:8500 [wandb_config.py:__setitem__():152] config set predic = [0.07073301076889038, 0.0360255241394043, 0.036952197551727295, 0.07152116298675537] - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000014F77B0C670>>
2023-04-06 14:01:16,978 INFO    MainThread:8500 [wandb_run.py:_config_callback():1251] config_cb predic [0.07073301076889038, 0.0360255241394043, 0.036952197551727295, 0.07152116298675537] None
2023-04-06 14:01:16,979 INFO    MainThread:8500 [wandb_config.py:__setitem__():152] config set correct = [0.06890000000000095, 0.03495000000000049, 0.035950000000000516, 0.06990000000000098] - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000014F77B0C670>>
2023-04-06 14:01:16,979 INFO    MainThread:8500 [wandb_run.py:_config_callback():1251] config_cb correct [0.06890000000000095, 0.03495000000000049, 0.035950000000000516, 0.06990000000000098] None
2023-04-06 14:02:09,030 WARNING MsgRouterThr:8500 [router.py:message_loop():77] message_loop has been closed
