2023-05-27 14:26:17,281 INFO    MainThread:35980 [wandb_setup.py:_flush():76] Configure stats pid to 35980
2023-05-27 14:26:17,282 INFO    MainThread:35980 [wandb_setup.py:_flush():76] Loading settings from C:\Users\PAVILION 15-DW001LA\.config\wandb\settings
2023-05-27 14:26:17,282 INFO    MainThread:35980 [wandb_setup.py:_flush():76] Loading settings from C:\Users\PAVILION 15-DW001LA\Documents\Tesis\Códigos\RNAs\Red_Conv2D\wandb\settings
2023-05-27 14:26:17,282 INFO    MainThread:35980 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-27 14:26:17,283 INFO    MainThread:35980 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-27 14:26:17,283 INFO    MainThread:35980 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'RNAs\\Red_Conv2D\\Red_Conv2D.py', 'program': 'C:\\Users\\PAVILION 15-DW001LA\\Documents\\Tesis\\Códigos\\RNAs\\Red_Conv2D\\Red_Conv2D.py'}
2023-05-27 14:26:17,283 INFO    MainThread:35980 [wandb_init.py:_log_setup():506] Logging user logs to C:\Users\PAVILION 15-DW001LA\Documents\Tesis\Códigos\RNAs\Red_Conv2D\wandb\run-20230527_142617-ow1pxgpf\logs\debug.log
2023-05-27 14:26:17,284 INFO    MainThread:35980 [wandb_init.py:_log_setup():507] Logging internal logs to C:\Users\PAVILION 15-DW001LA\Documents\Tesis\Códigos\RNAs\Red_Conv2D\wandb\run-20230527_142617-ow1pxgpf\logs\debug-internal.log
2023-05-27 14:26:17,284 INFO    MainThread:35980 [wandb_init.py:init():546] calling init triggers
2023-05-27 14:26:17,284 INFO    MainThread:35980 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-05-27 14:26:17,284 INFO    MainThread:35980 [wandb_init.py:init():602] starting backend
2023-05-27 14:26:17,284 INFO    MainThread:35980 [wandb_init.py:init():606] setting up manager
2023-05-27 14:26:17,287 INFO    MainThread:35980 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-05-27 14:26:17,295 INFO    MainThread:35980 [wandb_init.py:init():613] backend started and connected
2023-05-27 14:26:17,299 INFO    MainThread:35980 [wandb_init.py:init():701] updated telemetry
2023-05-27 14:26:17,386 INFO    MainThread:35980 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-05-27 14:26:18,080 INFO    MainThread:35980 [wandb_run.py:_on_init():2133] communicating current version
2023-05-27 14:26:18,367 INFO    MainThread:35980 [wandb_run.py:_on_init():2142] got version response upgrade_message: "wandb version 0.15.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-05-27 14:26:18,367 INFO    MainThread:35980 [wandb_init.py:init():789] starting run threads in backend
2023-05-27 14:26:23,461 INFO    MainThread:35980 [wandb_run.py:_console_start():2114] atexit reg
2023-05-27 14:26:23,461 INFO    MainThread:35980 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-05-27 14:26:23,461 INFO    MainThread:35980 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-05-27 14:26:23,461 INFO    MainThread:35980 [wandb_run.py:_redirect():2059] Redirects installed.
2023-05-27 14:26:23,463 INFO    MainThread:35980 [wandb_init.py:init():831] run started, returning control to user process
2023-05-27 14:26:23,463 INFO    MainThread:35980 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0004 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000214B5599A30>>
2023-05-27 14:26:23,463 INFO    MainThread:35980 [wandb_run.py:_config_callback():1251] config_cb learning_rate 0.0004 None
2023-05-27 14:26:23,463 INFO    MainThread:35980 [wandb_config.py:__setitem__():152] config set batch_size = 20 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000214B5599A30>>
2023-05-27 14:26:23,463 INFO    MainThread:35980 [wandb_run.py:_config_callback():1251] config_cb batch_size 20 None
