2023-04-04 19:48:27,907 INFO    MainThread:8684 [wandb_setup.py:_flush():76] Configure stats pid to 8684
2023-04-04 19:48:27,908 INFO    MainThread:8684 [wandb_setup.py:_flush():76] Loading settings from C:\Users\PAVILION 15-DW001LA\.config\wandb\settings
2023-04-04 19:48:27,908 INFO    MainThread:8684 [wandb_setup.py:_flush():76] Loading settings from C:\Users\PAVILION 15-DW001LA\Documents\Tesis\Códigos\RNAs\Red_Densa\wandb\settings
2023-04-04 19:48:27,908 INFO    MainThread:8684 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-04 19:48:27,908 INFO    MainThread:8684 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-04 19:48:27,908 INFO    MainThread:8684 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'RNAs\\Red_Densa\\RNA_densa.py', 'program': 'C:\\Users\\PAVILION 15-DW001LA\\Documents\\Tesis\\Códigos\\RNAs\\Red_Densa\\RNA_densa.py'}
2023-04-04 19:48:27,911 INFO    MainThread:8684 [wandb_init.py:_log_setup():506] Logging user logs to C:\Users\PAVILION 15-DW001LA\Documents\Tesis\Códigos\RNAs\Red_Densa\wandb\run-20230404_194827-5jf98ql1\logs\debug.log
2023-04-04 19:48:27,911 INFO    MainThread:8684 [wandb_init.py:_log_setup():507] Logging internal logs to C:\Users\PAVILION 15-DW001LA\Documents\Tesis\Códigos\RNAs\Red_Densa\wandb\run-20230404_194827-5jf98ql1\logs\debug-internal.log
2023-04-04 19:48:27,912 INFO    MainThread:8684 [wandb_init.py:init():546] calling init triggers
2023-04-04 19:48:27,912 INFO    MainThread:8684 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-04-04 19:48:27,912 INFO    MainThread:8684 [wandb_init.py:init():602] starting backend
2023-04-04 19:48:27,912 INFO    MainThread:8684 [wandb_init.py:init():606] setting up manager
2023-04-04 19:48:27,914 INFO    MainThread:8684 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-04 19:48:27,919 INFO    MainThread:8684 [wandb_init.py:init():613] backend started and connected
2023-04-04 19:48:27,922 INFO    MainThread:8684 [wandb_init.py:init():701] updated telemetry
2023-04-04 19:48:27,982 INFO    MainThread:8684 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-04-04 19:48:28,366 INFO    MainThread:8684 [wandb_run.py:_on_init():2133] communicating current version
2023-04-04 19:48:28,575 INFO    MainThread:8684 [wandb_run.py:_on_init():2142] got version response 
2023-04-04 19:48:28,576 INFO    MainThread:8684 [wandb_init.py:init():789] starting run threads in backend
2023-04-04 19:48:33,630 INFO    MainThread:8684 [wandb_run.py:_console_start():2114] atexit reg
2023-04-04 19:48:33,631 INFO    MainThread:8684 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-04 19:48:33,631 INFO    MainThread:8684 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-04 19:48:33,631 INFO    MainThread:8684 [wandb_run.py:_redirect():2059] Redirects installed.
